model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.78 ,Train_Loss: 0.142 ,Val_Loss: 0.1589
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.72 ,Val_Acc: 0.66 ,Train_Loss: 0.1769 ,Val_Loss: 0.1901
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.78 ,Val_Acc: 0.79 ,Train_Loss: 0.1369 ,Val_Loss: 0.1528
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.68 ,Val_Acc: 0.72 ,Train_Loss: 0.1748 ,Val_Loss: 0.1884
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.82 ,Val_Acc: 0.78 ,Train_Loss: 0.1399 ,Val_Loss: 0.1447
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.78 ,Train_Loss: 0.1571 ,Val_Loss: 0.1607
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.7 ,Val_Acc: 0.81 ,Train_Loss: 0.2106 ,Val_Loss: 0.129
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.82 ,Val_Acc: 0.79 ,Train_Loss: 0.1329 ,Val_Loss: 0.1441
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.8 ,Val_Acc: 0.71 ,Train_Loss: 0.1578 ,Val_Loss: 0.2007
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.76 ,Val_Acc: 0.81 ,Train_Loss: 0.1781 ,Val_Loss: 0.1253
model_06/08_12:19 epoch : 3 ,Train_Acc: 0.76 ,Val_Acc: 0.69 ,Train_Loss: 0.1379 ,Val_Loss: 0.2016
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.68 ,Val_Acc: 0.75 ,Train_Loss: 0.1593 ,Val_Loss: 0.1446
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.84 ,Val_Acc: 0.73 ,Train_Loss: 0.1331 ,Val_Loss: 0.1964
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.82 ,Val_Acc: 0.73 ,Train_Loss: 0.1215 ,Val_Loss: 0.167
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.84 ,Val_Acc: 0.75 ,Train_Loss: 0.1237 ,Val_Loss: 0.1727
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.84 ,Val_Acc: 0.83 ,Train_Loss: 0.1296 ,Val_Loss: 0.1402
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.82 ,Val_Acc: 0.8 ,Train_Loss: 0.1158 ,Val_Loss: 0.1353
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.68 ,Val_Acc: 0.73 ,Train_Loss: 0.2088 ,Val_Loss: 0.1937
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.74 ,Val_Acc: 0.79 ,Train_Loss: 0.1696 ,Val_Loss: 0.1356
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.84 ,Val_Acc: 0.64 ,Train_Loss: 0.1447 ,Val_Loss: 0.2601
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.84 ,Val_Acc: 0.74 ,Train_Loss: 0.1359 ,Val_Loss: 0.1505
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.82 ,Val_Acc: 0.76 ,Train_Loss: 0.1187 ,Val_Loss: 0.1629
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.88 ,Val_Acc: 0.65 ,Train_Loss: 0.1047 ,Val_Loss: 0.2068
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.88 ,Val_Acc: 0.79 ,Train_Loss: 0.1101 ,Val_Loss: 0.1545
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.72 ,Val_Acc: 0.82 ,Train_Loss: 0.1656 ,Val_Loss: 0.1317
model_06/08_12:19 epoch : 4 ,Train_Acc: 0.84 ,Val_Acc: 0.81 ,Train_Loss: 0.1121 ,Val_Loss: 0.1429
